City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Grand Gaube,MU,2022-06-12 06:19:24,-20.0064,57.6608,73.8,84,89,8.01
67,Gambela,ET,2022-06-12 06:16:15,8.25,34.5833,81.93,59,30,2.57
68,Saint-Joseph,RE,2022-06-12 06:19:25,-21.3667,55.6167,73.78,74,31,16.58
69,Qaqortoq,GL,2022-06-12 06:19:25,60.7167,-46.0333,45.3,77,100,6.8
70,Klaksvik,FO,2022-06-12 06:19:25,62.2266,-6.589,49.12,96,96,15.64
71,Cabedelo,BR,2022-06-12 06:17:28,-6.9811,-34.8339,74.64,86,77,3.83
72,Vardo,NO,2022-06-12 06:19:26,70.3705,31.1107,58.98,77,20,19.57
73,Quatre Cocos,MU,2022-06-12 06:19:26,-20.2078,57.7625,73.51,82,82,16.24
74,Shiraz,IR,2022-06-12 06:19:26,29.6036,52.5388,89.04,9,0,4.61
75,Tahoua,NE,2022-06-12 06:19:27,14.8888,5.2692,80.58,69,0,3.44
76,Ravar,IR,2022-06-12 06:19:28,31.2656,56.8055,88.18,18,0,7.56
77,Merrill,US,2022-06-12 06:18:41,45.1805,-89.6835,56.97,98,100,0.0
78,Huesca,ES,2022-06-12 06:19:28,42.1362,-0.4087,77.11,60,0,3.44
79,Kango,GA,2022-06-12 06:19:28,0.1943,10.0951,73.98,97,56,0.4
80,Road Town,VG,2022-06-12 06:19:29,18.4167,-64.6167,80.69,74,43,21.25
81,Krasnozerskoye,RU,2022-06-12 06:19:29,53.9828,79.2374,78.4,36,2,13.67
82,Hammerfest,NO,2022-06-12 06:19:29,70.6634,23.6821,43.25,100,75,20.71
83,Sayat,TM,2022-06-12 06:19:30,38.7839,63.8803,82.27,27,70,16.75
84,Richards Bay,ZA,2022-06-12 06:19:30,-28.783,32.0377,61.61,79,0,10.58
85,Saldanha,ZA,2022-06-12 06:19:31,-33.0117,17.9442,58.14,82,97,12.19
86,Mendeleyevo,RU,2022-06-12 06:19:31,56.0333,37.2167,67.69,64,0,11.18
87,Campos Belos,BR,2022-06-12 06:19:31,-13.0367,-46.7717,68.2,43,94,3.06
88,Coleraine,GB,2022-06-12 06:16:56,55.1333,-6.6667,51.48,85,94,15.66
89,Kortkeros,RU,2022-06-12 06:19:32,61.8106,51.5806,50.18,47,68,10.92
90,Torbay,CA,2022-06-12 06:15:21,47.6666,-52.7314,56.88,84,100,16.11
91,Luderitz,NA,2022-06-12 06:20:32,-26.6481,15.1594,60.66,60,6,8.77
92,Barranco,PA,2022-06-12 06:20:33,9.5167,-82.7,75.09,96,100,4.03
93,Kutum,SD,2022-06-12 06:20:33,14.2,24.6667,79.03,50,72,9.95
94,Arraial Do Cabo,BR,2022-06-12 06:20:33,-22.9661,-42.0278,66.16,86,100,5.84
95,Chuy,UY,2022-06-12 06:20:34,-33.6971,-53.4616,42.58,80,6,11.79
96,Santa Rosa,PH,2022-06-12 06:20:34,14.3122,121.1114,91.38,69,75,3.15
97,Saint-Pierre,RE,2022-06-12 06:20:34,-21.3393,55.4781,75.9,64,0,25.32
98,Necochea,AR,2022-06-12 06:20:35,-38.5473,-58.7368,43.0,51,1,6.29
99,Bitkine,TD,2022-06-12 06:20:35,11.9801,18.2138,84.02,51,90,6.85
100,Hofn,IS,2022-06-12 06:20:35,64.2539,-15.2082,50.58,76,100,13.13
101,Brokopondo,SR,2022-06-12 06:20:35,4.75,-55.1667,74.75,89,55,4.21
102,Iqaluit,CA,2022-06-12 06:20:36,63.7506,-68.5145,37.13,81,75,16.11
103,Coihaique,CL,2022-06-12 06:18:02,-45.5752,-72.0662,29.01,93,0,2.3
104,Khandbari,NP,2022-06-12 06:20:36,27.3747,87.2039,78.44,72,95,0.38
105,Ler,SS,2022-06-12 06:20:37,8.3018,30.1418,83.64,59,82,1.25
106,Walvis Bay,NA,2022-06-12 06:20:37,-22.9575,14.5053,67.15,37,0,14.97
107,Shu,KZ,2022-06-12 06:20:37,43.5983,73.7614,83.79,39,98,8.23
108,Machico,PT,2022-06-12 06:20:38,32.7,-16.7667,70.0,70,20,1.14
109,Petropavl,KZ,2022-06-12 06:16:27,54.8753,69.1628,71.58,46,75,13.42
110,Plettenberg Bay,ZA,2022-06-12 06:20:38,-34.0527,23.3716,73.26,27,94,21.12
111,Champa,IN,2022-06-12 06:20:39,22.05,82.65,105.67,24,64,9.17
112,Mindelo,CV,2022-06-12 06:20:39,16.8901,-24.9804,72.95,78,40,21.85
113,Kabinda,CD,2022-06-12 06:20:39,-6.1333,24.4833,71.15,53,40,5.57
114,Mahon,ES,2022-06-12 06:20:40,39.8885,4.2658,72.16,94,20,2.3
115,Shelburne,CA,2022-06-12 06:20:40,44.0787,-80.2041,56.19,96,100,10.78
116,Boljevac,RS,2022-06-12 06:20:41,43.8303,21.9531,67.71,93,57,5.3
117,Isakly,RU,2022-06-12 06:20:42,54.1333,51.5333,57.6,64,6,10.69
118,Cassilandia,BR,2022-06-12 06:20:42,-19.1133,-51.7342,56.84,61,100,4.25
119,Ostrovnoy,RU,2022-06-12 06:20:43,68.0531,39.5131,59.34,61,100,20.18
120,Shakawe,BW,2022-06-12 06:20:44,-18.3667,21.85,52.27,65,3,4.34
121,Abu Samrah,SY,2022-06-12 06:20:44,35.3029,37.1841,84.61,22,1,17.76
122,Marystown,CA,2022-06-12 06:20:45,47.1666,-55.1483,52.86,100,100,7.11
123,Comarapa,BO,2022-06-12 06:20:45,-17.9,-64.4833,38.37,95,16,1.83
124,Esna,EG,2022-06-12 06:20:46,25.2934,32.554,100.33,11,0,10.51
125,Nantucket,US,2022-06-12 06:16:16,41.2835,-70.0995,66.31,98,100,8.05
126,Buraydah,SA,2022-06-12 06:20:46,26.326,43.975,97.25,10,0,4.18
127,Ilhabela,BR,2022-06-12 06:20:46,-23.7781,-45.3581,62.69,87,99,5.35
128,Normandin,CA,2022-06-12 06:20:47,48.8333,-72.5321,55.71,93,54,4.61
129,Saint George,US,2022-06-12 06:20:47,37.1041,-113.5841,91.99,15,0,3.44
130,Khaniotis,GR,2022-06-12 06:20:47,39.9991,23.58,72.3,68,52,10.27
131,Oruro,BO,2022-06-12 06:20:48,-17.9833,-67.15,33.46,36,0,3.24
132,Turukhansk,RU,2022-06-12 06:20:48,65.8167,87.9833,76.23,33,98,15.75
133,Sisimiut,GL,2022-06-12 06:20:48,66.9395,-53.6735,37.08,79,82,17.34
134,Funadhoo,MV,2022-06-12 06:20:48,6.15,73.2667,82.98,76,95,15.82
135,Nouadhibou,MR,2022-06-12 06:20:49,20.931,-17.0347,66.18,94,0,20.71
136,Margate,GB,2022-06-12 06:20:49,51.3813,1.3862,58.69,76,60,11.81
