City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kalmunai,LK,7.4167,81.8167,88.52,62,95,15.17,overcast clouds
80,Jacareacanga,BR,-6.2222,-57.7528,68.81,99,51,0.27,broken clouds
81,Saint-Philippe,RE,-21.3585,55.7679,80.19,73,46,15.7,scattered clouds
82,Sistranda,NO,63.7256,8.834,49.96,88,99,13.38,overcast clouds
83,Turinsk,RU,58.0458,63.696,69.8,43,20,12.57,few clouds
84,Carnarvon,AU,-24.8667,113.6333,68.56,57,92,9.57,overcast clouds
85,Maxixe,MZ,-23.8597,35.3472,76.59,59,0,10.45,clear sky
86,Iranshahr,IR,27.2025,60.6848,104.34,27,20,11.5,few clouds
87,Mar Del Plata,AR,-38.0023,-57.5575,47.08,79,0,9.22,clear sky
88,Upernavik,GL,72.7868,-56.1549,27.52,88,86,8.21,overcast clouds
89,Bereda,ES,43.2686,-7.5406,76.96,60,52,2.04,broken clouds
90,Lagoa,PT,39.05,-27.9833,61.86,77,56,3.78,broken clouds
91,Port Elizabeth,ZA,-33.918,25.5701,69.1,73,0,8.05,clear sky
92,Saint-Georges,GD,12.0564,-61.7485,80.28,83,75,11.5,broken clouds
93,Ilulissat,GL,69.2167,-51.1,29.68,75,28,5.53,scattered clouds
94,Svetlyy,RU,54.675,20.1347,61.97,84,48,20.36,scattered clouds
95,Groton,US,41.3501,-72.0784,63.75,68,0,5.75,clear sky
96,Klaksvik,FO,62.2266,-6.589,50.92,98,100,17.02,light rain
97,Yar-Sale,RU,66.8333,70.8333,54.81,58,94,10.13,overcast clouds
98,Torrelodones,ES,40.5765,-3.9266,85.24,29,0,5.75,clear sky
99,Dangriga,BZ,16.9692,-88.2321,80.33,82,98,24.09,overcast clouds
100,Quelimane,MZ,-17.8786,36.8883,77.22,70,14,0.56,few clouds
101,Shihezi,CN,44.3,86.0333,94.89,24,19,15.17,few clouds
102,Saint-Leu,RE,-21.15,55.2833,79.66,66,66,6.02,broken clouds
103,Usinsk,RU,65.9939,57.5281,68.68,30,99,10.13,overcast clouds
104,Takoradi,GH,4.8845,-1.7554,81.73,70,80,8.03,broken clouds
105,Sanaur,IN,30.3025,76.4553,115.25,10,0,12.62,clear sky
106,Xai-Xai,MZ,-25.0519,33.6442,76.03,57,0,13.51,clear sky
107,Owando,CG,-0.4819,15.8999,84.69,57,100,2.62,overcast clouds
108,Ust-Tsilma,RU,65.441,52.1498,70.56,47,87,5.64,light rain
109,Gudari,IN,19.35,83.7833,98.31,38,46,8.03,moderate rain
110,Ankara,TR,39.9199,32.8543,72.52,59,53,3.0,broken clouds
111,Rosario,AR,-32.9468,-60.6393,49.95,81,0,6.91,clear sky
112,Saldanha,ZA,-33.0117,17.9442,55.45,70,53,18.05,light rain
113,Anta,IN,25.15,76.3,103.6,28,40,9.15,scattered clouds
114,Ndele,CF,8.4109,20.6473,71.56,93,100,8.55,light rain
115,Shelburne,CA,44.0787,-80.2041,57.99,76,62,3.58,broken clouds
116,Chimbote,PE,-9.0853,-78.5783,62.31,84,98,7.2,overcast clouds
117,Kidal,ML,18.4411,1.4078,103.21,11,1,18.63,clear sky
118,Bonthe,SL,7.5264,-12.505,79.5,76,100,9.4,overcast clouds
119,Khartoum,SD,15.5518,32.5324,101.25,25,86,15.35,overcast clouds
120,Oranjemund,NA,-28.55,16.4333,60.33,69,1,20.02,light rain
121,Dinguiraye,GN,11.3,-10.7167,79.12,66,5,2.42,clear sky
122,Sajobabony,HU,48.1667,20.7333,68.49,50,53,1.48,broken clouds
123,Padre Bernardo,BR,-15.35,-48.5,63.37,67,6,2.91,clear sky
124,Bauchi,NG,10.5,10.0,83.8,55,95,6.64,overcast clouds
125,Pyatnitskoye,RU,50.4233,37.8273,78.1,57,19,9.71,few clouds
126,Rio Gallegos,AR,-51.6226,-69.2181,32.05,100,0,9.22,clear sky
127,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,68.56,99,100,1.5,overcast clouds
128,The Valley,AI,18.217,-63.0578,80.1,77,10,17.94,clear sky
129,Oistins,BB,13.0667,-59.5333,80.69,83,40,23.02,scattered clouds
130,Verkhnyaya Sinyachikha,RU,57.976,61.6673,68.49,49,39,6.08,scattered clouds
131,Altay,CN,47.8667,88.1167,82.29,36,100,7.83,overcast clouds
132,Chuy,UY,-33.6971,-53.4616,48.99,94,30,4.97,scattered clouds
133,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,75,20,9.22,few clouds
134,Conakry,GN,9.538,-13.6773,77.07,94,75,9.22,light rain
135,Kaabong,UG,3.4836,34.1492,77.2,47,9,7.16,clear sky
136,Santander,ES,43.4647,-3.8044,68.61,91,75,3.44,broken clouds
137,Nova Borova,UA,50.693,28.6345,63.27,65,50,17.09,scattered clouds
138,Eyl,SO,7.9803,49.8164,94.48,36,3,28.59,clear sky
139,Bandarbeyla,SO,9.4942,50.8122,92.89,43,54,23.64,broken clouds
140,Elbrus,RU,43.2577,42.6443,58.73,84,100,3.94,overcast clouds
141,Lubango,AO,-14.9172,13.4925,66.06,13,0,6.91,clear sky
142,Ardakan,IR,32.31,54.0175,101.71,8,0,9.33,clear sky
143,Pisco,PE,-13.7,-76.2167,60.85,82,100,1.14,haze
144,Skibbereen,IE,51.55,-9.2667,57.11,64,100,7.76,overcast clouds
145,Ribeira Grande,PT,38.5167,-28.7,63.0,77,20,2.3,few clouds
146,Olavarria,AR,-36.8927,-60.3225,42.84,79,100,7.29,overcast clouds
147,Aksu,CN,41.1231,80.2644,95.13,10,83,6.17,broken clouds
148,Walvis Bay,NA,-22.9575,14.5053,60.1,67,2,7.7,clear sky
149,Bandar-E Anzali,IR,37.4727,49.4622,82.51,67,0,10.29,clear sky
150,Georgetown,MY,5.4112,100.3354,87.73,78,40,6.91,thunderstorm
151,Olinda,BR,-8.0089,-34.8553,73.13,94,40,2.3,scattered clouds
152,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,100,12.66,overcast clouds
153,Muzhi,RU,65.3667,64.6667,64.0,38,55,5.86,broken clouds
154,Luangwa,ZM,-15.6167,30.4167,78.62,41,0,3.56,clear sky
155,Motihari,IN,26.65,84.9167,112.14,19,48,9.6,scattered clouds
156,Atar,MR,20.5169,-13.0499,93.0,28,0,2.59,clear sky
157,Abu Samrah,SY,35.3029,37.1841,83.14,37,0,16.22,clear sky
158,General Roca,AR,-39.0333,-67.5833,45.57,32,99,4.05,overcast clouds
159,Mikumi,TZ,-7.4041,36.9831,81.21,46,7,5.99,clear sky
160,Gat,IL,31.61,34.7642,85.78,37,0,9.89,clear sky
161,Muros,ES,42.7762,-9.0603,80.69,67,1,4.9,clear sky
162,Ust-Ishim,RU,57.6935,71.1665,53.56,84,100,6.42,overcast clouds
163,Malhador,BR,-10.6578,-37.3047,74.05,98,37,3.22,scattered clouds
164,West Bay,KY,19.3667,-81.4167,82.0,88,100,1.01,overcast clouds
165,Hoima,UG,1.4356,31.3436,84.63,37,56,1.28,broken clouds
166,Tigre,AR,-34.426,-58.5796,52.21,82,0,3.44,clear sky
167,Boysun,UZ,38.2061,67.1986,87.93,17,6,4.61,clear sky
168,Dunmore Town,BS,25.5,-76.65,80.33,78,7,10.87,clear sky
169,Narasannapeta,IN,18.4167,84.05,95.27,54,9,15.17,clear sky
170,Dungarvan,IE,52.0881,-7.6253,60.96,56,100,1.99,overcast clouds
171,Uvat,RU,59.1433,68.8953,50.16,92,100,6.71,overcast clouds
172,Nidadavole,IN,16.9167,81.6667,106.11,24,62,5.86,broken clouds
173,Vangaindrano,MG,-23.35,47.6,70.81,78,100,4.07,overcast clouds
174,Turukhansk,RU,65.8167,87.9833,72.3,51,90,7.43,overcast clouds
175,Mineros,BO,-17.1167,-63.2333,47.46,49,0,2.13,clear sky
176,Saint Anthony,US,45.0205,-93.218,73.33,91,40,13.8,scattered clouds
177,Guapi,CO,2.5708,-77.8854,72.54,95,87,3.4,overcast clouds
178,Virginia Beach,US,36.8529,-75.978,80.64,92,100,8.05,overcast clouds
179,Sinnamary,GF,5.3833,-52.95,74.98,87,90,1.25,overcast clouds
180,Oum Hadjer,TD,13.2954,19.6966,93.42,31,100,3.18,overcast clouds
181,Wajir,KE,1.7471,40.0573,82.36,57,75,10.36,broken clouds
182,Oussouye,SN,12.485,-16.5469,80.78,69,87,7.49,overcast clouds
183,Vestmanna,FO,62.1564,-7.1664,49.12,100,100,5.75,light rain
184,Lakewood,US,39.7047,-105.0814,62.51,44,0,1.99,clear sky
185,Hambantota,LK,6.1241,81.1185,93.54,59,20,8.05,light rain
186,Arlit,NE,18.7369,7.3853,106.18,8,10,17.4,clear sky
187,Albany,US,42.6001,-73.9662,56.73,85,33,3.94,scattered clouds
188,Butembo,CD,0.15,29.2833,74.35,49,27,3.27,light rain
189,Puerto Quijarro,BO,-17.7833,-57.7667,49.98,54,0,1.28,clear sky
190,Puerto Leguizamo,CO,-0.1934,-74.7819,65.68,99,100,1.41,overcast clouds
191,Sharya,RU,58.3686,45.5144,74.19,52,100,9.35,overcast clouds
192,Mehamn,NO,71.0357,27.8492,42.71,82,99,7.4,overcast clouds
193,Guajara,BR,-2.9667,-57.6667,69.91,99,40,0.81,scattered clouds
194,Adrar,MR,20.5022,-10.0711,95.11,22,6,8.75,clear sky
195,Inhambane,MZ,-23.865,35.3833,76.26,61,0,11.01,clear sky
196,Buchanan,LR,5.8808,-10.0467,80.71,67,65,4.72,broken clouds
197,Kindu,CD,-2.95,25.95,86.7,52,58,3.36,broken clouds
198,Padang,ID,-0.9492,100.3543,84.25,68,89,4.21,light rain
199,Torfyanoy,RU,58.4916,49.1979,73.02,47,43,7.65,scattered clouds
200,Suruc,TR,36.9761,38.425,84.36,35,0,10.85,clear sky
201,Vardo,NO,70.3705,31.1107,46.38,71,75,11.5,broken clouds
